session_id,fraction_of_common_click
20090312431273200,0.9622641509433962
20090312433251036,0.9096385542168675
20090312455206810,0.7018348623853211
20090313091715820,0.6923076923076923
20090314035813970,0.8148148148148148
20090314121766812,0.9578313253012049
20090314221187252,0.978494623655914
20090314363702160,0.969811320754717
20090314441803444,0.9641255605381166
20090315081004164,0.8938547486033519
20090315101457836,0.660436137071651
20090315270479452,0.9675324675324676
20090316190523732,0.9664179104477612
20090317111400710,0.9070796460176991
20090317414400068,0.9791044776119403
20090318021527530,0.9535655058043118
20090318322359292,0.9683698296836983
20100000291486630,0.974169741697417
20100000404860470,0.948051948051948
20100007011166932,0.9741379310344828
20100007445515820,0.9558011049723757
20100008103581056,0.9674267100977199
20100008572266050,0.947136563876652
20100009003806170,0.9631728045325779
20100009303098716,0.9386281588447654
20100009385330468,0.9602510460251046
20100009560590796,0.9430199430199431
20100010540710908,0.9576271186440678
20100010554738616,0.9271523178807947
20100011033647636,0.9632107023411371
20100011274731204,0.9522727272727273
20100011290663880,0.9468085106382979
20100011394713344,0.9773584905660377
20100012035069724,0.9853479853479854
20100012471966900,0.9748953974895398
20100012495345730,0.959866220735786
20100012540000424,0.9695945945945946
20100012562027690,0.95625
20100013054800856,0.9824561403508771
20100013062325450,0.9141274238227147
20100013473331852,0.9435897435897436
20100013511751244,0.9848484848484849
20100014035994700,0.948051948051948
20100014151142000,0.9523809523809523
20100014154454230,0.7589285714285714
20100014211946468,0.9783889980353635
20100014511488036,0.9716024340770791
20100015040218188,0.9768518518518519
20100015125877780,0.9809885931558935
20100015283382064,0.9630996309963099
20100015595709668,0.9861111111111112
20100016032214516,0.9584120982986768
20100016060832892,0.9730769230769231
20100016070249504,0.9541666666666667
20100016190952620,0.991304347826087
20100016263918300,0.9159935379644588
20100016265132170,0.9372197309417041
20100017174504320,0.9682539682539683
20100017221780384,0.9249061326658323
20100017254481760,0.8881239242685026
20100017263056424,0.9761904761904762
20100017310338576,0.9712460063897763
20100018164106616,0.9540983606557377
20100018271998800,0.9846153846153847
20100018303409816,0.947136563876652
20100018421509572,0.9483870967741935
20100019111032050,0.9457831325301205
20100019210476400,0.9683794466403162
20100019232709284,0.9617834394904459
20100020002294336,0.7555555555555555
20100020040089776,0.9494163424124513
20100020122406090,0.9487179487179487
20100020201084828,0.9454545454545454
20100020512263948,0.9675925925925926
20100021100648030,0.9195046439628483
20100022495909980,0.6791171477079796
20100023124078624,0.9565217391304348
20100023464644676,0.9646643109540636
20100106475056520,0.9538904899135446
20100107064152736,0.9560117302052786
20100107482652664,0.9473684210526315
20100107574055690,0.9819587628865979
20100108074945404,0.9266802443991853
20100108173056344,0.9740932642487047
20100108233796816,0.9879518072289156
20100108361406030,0.9552238805970149
20100108383025864,0.9770992366412213
20100108394183868,0.9550173010380623
20100108401566970,0.9671532846715328
20100108432199556,0.9601328903654485
20100108440880468,0.9585987261146497
20100108444190744,0.8726968174204355
20100108470637852,0.9674267100977199
20100108495321150,0.967479674796748
20100108534216284,0.9790940766550522
20100108555032970,0.9192982456140351
20100108562170828,0.959409594095941
20100108574283104,0.9662921348314607
20100108581646460,0.987012987012987
20100108591155856,0.9925925925925926
20100109004299012,0.9505703422053232
20100109034836400,0.9484978540772532
20100109151447104,0.9206008583690987
20100109162353624,0.9322033898305084
20100109172665050,0.9347826086956522
20100109184696350,0.9508716323296355
20100109251233292,0.9631336405529954
20100109284899504,0.9393939393939394
20100109301649708,0.9259259259259259
20100109343643120,0.9552238805970149
20100109380136844,0.9621621621621622
20100109431710736,0.9027777777777778
20100109452581744,0.9369627507163324
20100109470804544,0.9358437935843794
20100109514699030,0.9527777777777777
20100109594661570,0.9288135593220339
20100109595390890,0.9416058394160584
20100110025276096,0.931758530183727
20100110044069460,0.9761904761904762
20100110073981440,0.9398496240601504
20100110082132976,1.0
20100110125009530,0.9444444444444444
20100110144313116,0.9157088122605364
20100110164955216,0.9625468164794008
20100110165348344,0.42214532871972316
20100110175762076,0.9469026548672567
20100110182910332,0.9390243902439024
20100110184862076,0.9368421052631579
20100110240923344,0.9584569732937686
20100110282243428,0.9262295081967213
20100110283943724,0.9578947368421052
20100110292895384,0.9529411764705882
20100110312175628,0.979539641943734
20100110332615344,0.9483315392895587
20100110373886400,0.9540229885057471
20100110411908996,0.930672268907563
20100110453807850,0.9415204678362573
20100110472592492,0.9449152542372882
20100110484589160,0.9689922480620154
20100110522225750,0.9621212121212122
20100110531537424,0.956140350877193
20100110555341692,0.9788135593220338
20100110593116576,0.9704918032786886
20100111014855890,0.9617834394904459
20100111065473908,0.9346938775510204
20100111072863550,0.9124579124579124
20100111111155972,0.9663461538461539
20100111131264296,0.9432624113475178
20100111134157064,0.9580645161290322
20100111134429080,0.9655172413793104
20100111144224450,0.9838056680161943
20100111262209730,0.9619771863117871
20100111275626830,0.9272030651340997
20100111290365256,0.9673469387755103
20100111331202868,0.9561752988047809
20100111342055230,0.9251870324189526
20100111373695984,0.9212454212454212
20100111374821010,0.8859060402684564
20100111434701724,0.9517684887459807
20100111474022764,0.9358974358974359
20100111500632376,0.9511400651465798
20100111520459320,0.9539007092198581
20100111522448010,0.8790436005625879
20100111522598640,0.9505813953488372
20100112052121604,0.7873754152823921
20100112063078976,0.9637096774193549
20100112065025580,0.9686520376175548
20100112092206028,0.9629629629629629
20100112114654810,0.9634146341463414
20100112115368144,0.9743589743589743
20100112122350730,0.9533678756476683
20100112123609416,0.9411764705882353
20100112190353960,0.9467084639498433
20100112214738060,0.9527272727272728
20100112225395480,0.9690721649484536
20100112272399090,0.95
20100112303554740,0.9801587301587301
20100112325032400,0.9637096774193549
20100112403862880,0.9742489270386266
20100112422009230,0.9162303664921466
20100112495997816,0.9624060150375939
20100112554019610,0.9607843137254902
20100112565850292,0.95
20100112570372764,0.9739837398373984
20100112574890320,0.9874213836477987
20100113121580480,0.9805825242718447
20100113123469780,0.9662921348314607
20100113124538976,0.9696969696969697
20100113150922424,0.968944099378882
20100113203750424,0.9574468085106383
20100113204991120,0.8947368421052632
20100113211402190,0.963963963963964
20100113244993790,0.9832775919732442
20100113272965970,0.9146919431279621
20100113302320896,0.8246268656716418
20100113302514924,0.98828125
20100113302758190,0.9806201550387597
20100113372682160,0.8892508143322475
20100113381432344,0.936026936026936
20100113382117660,0.9519650655021834
20100113403690710,0.9364548494983278
20100113492754664,0.9607142857142857
20100113515582000,0.9457364341085271
20100113542822250,0.9810606060606061
