session_id,fraction_of_common_click
20090312431273200,0.8653846153846154
20090312433251036,0.8615384615384616
20090312455206810,0.7379310344827587
20090313091715820,0.7559523809523809
20090314035813970,0.6530612244897959
20090314121766812,0.8116883116883117
20090314221187252,0.9651741293532339
20090314363702160,0.8592592592592593
20090314441803444,0.8762886597938144
20090315081004164,0.7333333333333333
20090315101457836,0.47368421052631576
20090315270479452,0.9698795180722891
20090316190523732,0.9296875
20090317111400710,0.8355555555555556
20090317414400068,0.8861788617886179
20090318021527530,0.8743169398907104
20090318322359292,0.8607594936708861
20100000291486630,0.9622641509433962
20100000404860470,0.7699115044247787
20100007011166932,0.8632478632478633
20100007445515820,0.8974358974358975
20100008103581056,0.8125
20100008572266050,0.8322147651006712
20100009003806170,0.9387755102040817
20100009303098716,0.853448275862069
20100009385330468,0.9243243243243243
20100009560590796,0.8253968253968254
20100010540710908,0.9622641509433962
20100010554738616,0.9133333333333333
20100011033647636,0.8154761904761905
20100011274731204,0.8472222222222222
20100011290663880,0.8319327731092437
20100011394713344,0.8366013071895425
20100012035069724,0.8717948717948718
20100012471966900,0.9191176470588235
20100012495345730,0.8421052631578947
20100012540000424,0.8541666666666666
20100012562027690,0.8866666666666667
20100013054800856,0.8714285714285714
20100013062325450,0.8142857142857143
20100013473331852,0.8427672955974843
20100013511751244,0.9181818181818182
20100014035994700,0.8881578947368421
20100014151142000,0.7368421052631579
20100014154454230,0.543778801843318
20100014211946468,0.9109947643979057
20100014511488036,0.8695652173913043
20100015040218188,0.9545454545454546
20100015125877780,0.9166666666666666
20100015283382064,0.8238636363636364
20100015595709668,0.9222222222222223
20100016032214516,0.7906976744186046
20100016060832892,0.8571428571428571
20100016070249504,0.9354838709677419
20100016190952620,0.9290322580645162
20100016263918300,0.8367346938775511
20100016265132170,0.93
20100017174504320,0.9074074074074074
20100017221780384,0.7922705314009661
20100017254481760,0.7533783783783784
20100017263056424,0.8088235294117647
20100017310338576,0.8772727272727273
20100018164106616,0.8345323741007195
20100018271998800,0.8956521739130435
20100018303409816,0.8783783783783784
20100018421509572,0.927007299270073
20100019111032050,0.8490566037735849
20100019210476400,0.905982905982906
20100019232709284,0.8636363636363636
20100020002294336,0.6032608695652174
20100020040089776,0.9054054054054054
20100020122406090,0.8454545454545455
20100020201084828,0.7869822485207101
20100020512263948,0.8639455782312925
20100021100648030,0.952755905511811
20100022495909980,0.515695067264574
20100023124078624,0.9
20100023464644676,0.8652482269503546
20100106475056520,0.8280254777070064
20100107064152736,0.9125
20100107482652664,0.8561643835616438
20100107574055690,0.8882978723404256
20100108074945404,0.8773006134969326
20100108173056344,0.8373493975903614
20100108233796816,0.9098360655737705
20100108361406030,0.873015873015873
20100108383025864,0.9289940828402367
20100108394183868,0.823076923076923
20100108401566970,0.8867924528301887
20100108432199556,0.9071428571428571
20100108440880468,0.7486910994764397
20100108444190744,0.7320261437908496
20100108470637852,0.8382352941176471
20100108495321150,0.864
20100108534216284,0.9364161849710982
20100108555032970,0.7678571428571429
20100108562170828,0.8507462686567164
20100108574283104,0.90625
20100108581646460,0.8217821782178217
20100108591155856,0.916083916083916
20100109004299012,0.7105263157894737
20100109034836400,0.8181818181818182
20100109151447104,0.7777777777777778
20100109162353624,0.8789473684210526
20100109172665050,0.8154761904761905
20100109184696350,0.8795811518324608
20100109251233292,0.9078014184397163
20100109284899504,0.8706896551724138
20100109301649708,0.79
20100109343643120,0.6964285714285714
20100109380136844,0.8860103626943006
20100109431710736,0.7538461538461538
20100109452581744,0.8551724137931035
20100109470804544,0.8615702479338843
20100109514699030,0.8756756756756757
20100109594661570,0.8192771084337349
20100109595390890,0.8109756097560976
20100110025276096,0.8657718120805369
20100110044069460,0.9289940828402367
20100110073981440,0.8450704225352113
20100110082132976,0.8875
20100110125009530,0.8860759493670886
20100110144313116,0.7217391304347827
20100110164955216,0.8257575757575758
20100110165348344,0.5
20100110175762076,0.7461538461538462
20100110182910332,0.8461538461538461
20100110184862076,0.8740157480314961
20100110240923344,0.8209876543209876
20100110282243428,0.8038277511961722
20100110283943724,0.7955801104972375
20100110292895384,0.9241379310344827
20100110312175628,0.8944099378881988
20100110332615344,0.8439490445859873
20100110373886400,0.7841726618705036
20100110411908996,0.9008264462809917
20100110453807850,0.8373983739837398
20100110472592492,0.85
20100110484589160,0.7426470588235294
20100110522225750,0.8939393939393939
20100110531537424,0.7894736842105263
20100110555341692,0.848
20100110593116576,0.8938053097345132
20100111014855890,0.8571428571428571
20100111065473908,0.7182320441988951
20100111072863550,0.8516129032258064
20100111111155972,0.897196261682243
20100111131264296,0.9140625
20100111134157064,0.841726618705036
20100111134429080,0.8289473684210527
20100111144224450,0.9432624113475178
20100111262209730,0.9447852760736196
20100111275626830,0.7730061349693251
20100111290365256,0.9583333333333334
20100111331202868,0.8613138686131386
20100111342055230,0.7644787644787645
20100111373695984,0.8221153846153846
20100111374821010,0.7119341563786008
20100111434701724,0.912621359223301
20100111474022764,0.8121546961325967
20100111500632376,0.7218543046357616
20100111520459320,0.8878504672897196
20100111522448010,0.9144736842105263
20100111522598640,0.8580246913580247
20100112052121604,0.5867768595041323
20100112063078976,0.8604651162790697
20100112065025580,0.9069767441860465
20100112092206028,0.7414965986394558
20100112114654810,0.9242424242424242
20100112115368144,0.9192546583850931
20100112122350730,0.8164556962025317
20100112123609416,0.9148936170212766
20100112190353960,0.7962085308056872
20100112214738060,0.9487179487179487
20100112225395480,0.8208092485549133
20100112272399090,0.8175675675675675
20100112303554740,0.9568345323741008
20100112325032400,0.9099099099099099
20100112403862880,0.8732394366197183
20100112422009230,0.8731343283582089
20100112495997816,0.852112676056338
20100112554019610,0.8533333333333334
20100112565850292,0.8368421052631579
20100112570372764,0.9178082191780822
20100112574890320,0.8823529411764706
20100113121580480,0.9536082474226805
20100113123469780,0.8590604026845637
20100113124538976,0.8660714285714286
20100113150922424,0.9408602150537635
20100113203750424,0.864406779661017
20100113204991120,0.746031746031746
20100113211402190,0.9180327868852459
20100113244993790,0.8679245283018868
20100113272965970,0.8333333333333334
20100113302320896,0.75
20100113302514924,0.8290598290598291
20100113302758190,0.952755905511811
20100113372682160,0.8903225806451613
20100113381432344,0.9057971014492754
20100113382117660,0.8931297709923665
20100113403690710,0.9152542372881356
20100113492754664,0.8671875
20100113515582000,0.8170731707317073
20100113542822250,0.7936507936507936
20100113551171040,0.9022556390977443
20100113554333536,0.8
20100113555428456,0.9137931034482759
20100113562262376,0.8547008547008547
20100114023265800,0.7903225806451613
20100114080717940,0.9174311926605505
